trip_id;trip_line;destination;destination_id;origin;origin_id;time_departure;arrival;arrival_id;time_arrival;time_travelled
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Gentilly;IDFM:70543;82280.0;Cité Universitaire;IDFM:70623;82346.0;66.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Cité Universitaire;IDFM:70623;82376.0;Denfert-Rochereau;IDFM:71056;82486.0;110.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Denfert-Rochereau;IDFM:71056;82526.0;Luxembourg;IDFM:71161;82643.0;117.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Luxembourg;IDFM:71161;82673.0;Saint-Michel Notre-Dame;IDFM:73620;82769.0;96.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Saint-Michel Notre-Dame;IDFM:73620;82809.0;Châtelet les Halles;IDFM:474151;82889.0;80.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Châtelet les Halles;IDFM:474151;82920.0;Gare du Nord;IDFM:71410;83100.0;180.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Gare du Nord;IDFM:71410;83160.0;La Plaine Stade de France;IDFM:72211;83420.0;260.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;La Plaine Stade de France;IDFM:72211;83470.0;La Courneuve - Aubervilliers;IDFM:72598;83580.0;110.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;La Courneuve - Aubervilliers;IDFM:72598;83610.0;Le Bourget;IDFM:72641;83780.0;170.0
IDFM:TN:SNCF:d32d07af-7c8e-47a8-829b-6b7dfc6043d6;IDFM:C01743;Mitry - Claye;IDFM:69065;Le Bourget;IDFM:72641;83810.0;Drancy;IDFM:72652;83940.0;130.0
